task_id,benchmark,split
assistantbench.validation.0,assistantbench,test
assistantbench.validation.1,assistantbench,test
assistantbench.validation.2,assistantbench,test
assistantbench.validation.3,assistantbench,dev
assistantbench.validation.4,assistantbench,dev
assistantbench.validation.5,assistantbench,dev
assistantbench.validation.6,assistantbench,test
assistantbench.validation.7,assistantbench,test
assistantbench.validation.8,assistantbench,test
assistantbench.validation.9,assistantbench,test
assistantbench.validation.10,assistantbench,test
assistantbench.validation.11,assistantbench,dev
assistantbench.validation.12,assistantbench,test
assistantbench.validation.13,assistantbench,test
assistantbench.validation.14,assistantbench,test
assistantbench.validation.15,assistantbench,test
assistantbench.validation.16,assistantbench,test
assistantbench.validation.17,assistantbench,test
assistantbench.validation.18,assistantbench,test
assistantbench.validation.19,assistantbench,test
assistantbench.validation.20,assistantbench,test
assistantbench.validation.21,assistantbench,test
assistantbench.validation.22,assistantbench,test
assistantbench.validation.23,assistantbench,test
assistantbench.validation.24,assistantbench,test
assistantbench.validation.25,assistantbench,dev
assistantbench.validation.26,assistantbench,test
assistantbench.validation.27,assistantbench,test
assistantbench.validation.28,assistantbench,test
assistantbench.validation.29,assistantbench,test
assistantbench.validation.30,assistantbench,test
assistantbench.validation.31,assistantbench,dev
assistantbench.validation.32,assistantbench,test
visualwebarena.4,visualwebarena,test
visualwebarena.7,visualwebarena,test
visualwebarena.8,visualwebarena,test
visualwebarena.26,visualwebarena,test
visualwebarena.27,visualwebarena,test
visualwebarena.28,visualwebarena,test
visualwebarena.31,visualwebarena,test
visualwebarena.52,visualwebarena,test
visualwebarena.64,visualwebarena,dev
visualwebarena.76,visualwebarena,test
visualwebarena.88,visualwebarena,test
visualwebarena.91,visualwebarena,test
visualwebarena.93,visualwebarena,test
visualwebarena.98,visualwebarena,test
visualwebarena.102,visualwebarena,test
visualwebarena.118,visualwebarena,dev
visualwebarena.120,visualwebarena,test
visualwebarena.125,visualwebarena,test
visualwebarena.133,visualwebarena,dev
visualwebarena.134,visualwebarena,test
visualwebarena.141,visualwebarena,test
visualwebarena.149,visualwebarena,test
visualwebarena.159,visualwebarena,test
visualwebarena.160,visualwebarena,test
visualwebarena.172,visualwebarena,test
visualwebarena.213,visualwebarena,test
visualwebarena.220,visualwebarena,test
visualwebarena.223,visualwebarena,test
visualwebarena.244,visualwebarena,test
visualwebarena.245,visualwebarena,test
visualwebarena.247,visualwebarena,test
visualwebarena.248,visualwebarena,dev
visualwebarena.277,visualwebarena,test
visualwebarena.278,visualwebarena,test
visualwebarena.279,visualwebarena,test
visualwebarena.280,visualwebarena,test
visualwebarena.281,visualwebarena,test
visualwebarena.283,visualwebarena,test
visualwebarena.286,visualwebarena,test
visualwebarena.288,visualwebarena,test
visualwebarena.292,visualwebarena,test
visualwebarena.293,visualwebarena,test
visualwebarena.294,visualwebarena,test
visualwebarena.295,visualwebarena,test
visualwebarena.296,visualwebarena,test
visualwebarena.297,visualwebarena,test
visualwebarena.299,visualwebarena,test
visualwebarena.300,visualwebarena,test
visualwebarena.302,visualwebarena,test
visualwebarena.303,visualwebarena,test
visualwebarena.311,visualwebarena,test
visualwebarena.314,visualwebarena,test
visualwebarena.322,visualwebarena,test
visualwebarena.328,visualwebarena,test
visualwebarena.331,visualwebarena,test
visualwebarena.332,visualwebarena,test
visualwebarena.345,visualwebarena,test
visualwebarena.348,visualwebarena,test
visualwebarena.351,visualwebarena,test
visualwebarena.352,visualwebarena,dev
visualwebarena.359,visualwebarena,test
visualwebarena.367,visualwebarena,test
visualwebarena.372,visualwebarena,test
visualwebarena.385,visualwebarena,test
visualwebarena.387,visualwebarena,test
visualwebarena.389,visualwebarena,test
visualwebarena.398,visualwebarena,test
visualwebarena.403,visualwebarena,test
visualwebarena.414,visualwebarena,test
visualwebarena.416,visualwebarena,test
visualwebarena.419,visualwebarena,dev
visualwebarena.420,visualwebarena,test
visualwebarena.423,visualwebarena,test
visualwebarena.426,visualwebarena,test
visualwebarena.453,visualwebarena,test
visualwebarena.455,visualwebarena,test
visualwebarena.464,visualwebarena,test
visualwebarena.512,visualwebarena,test
visualwebarena.525,visualwebarena,dev
visualwebarena.569,visualwebarena,test
visualwebarena.570,visualwebarena,test
visualwebarena.580,visualwebarena,test
visualwebarena.597,visualwebarena,test
visualwebarena.598,visualwebarena,test
visualwebarena.600,visualwebarena,test
visualwebarena.601,visualwebarena,test
visualwebarena.602,visualwebarena,test
visualwebarena.608,visualwebarena,test
visualwebarena.614,visualwebarena,test
visualwebarena.620,visualwebarena,test
visualwebarena.686,visualwebarena,test
visualwebarena.725,visualwebarena,test
visualwebarena.730,visualwebarena,test
visualwebarena.739,visualwebarena,dev
visualwebarena.750,visualwebarena,test
visualwebarena.756,visualwebarena,test
visualwebarena.833,visualwebarena,test
visualwebarena.843,visualwebarena,test
visualwebarena.876,visualwebarena,test
visualwebarena.890,visualwebarena,test
webarena.15,webarena,dev
webarena.24,webarena,test
webarena.27,webarena,dev
webarena.33,webarena,dev
webarena.40,webarena,test
webarena.48,webarena,test
webarena.60,webarena,test
webarena.66,webarena,test
webarena.67,webarena,test
webarena.69,webarena,test
webarena.100,webarena,test
webarena.126,webarena,test
webarena.144,webarena,test
webarena.153,webarena,test
webarena.155,webarena,test
webarena.158,webarena,test
webarena.164,webarena,test
webarena.171,webarena,dev
webarena.177,webarena,test
webarena.185,webarena,test
