task_id,benchmark
assistantbench.validation.0,assistantbench
assistantbench.validation.1,assistantbench
assistantbench.validation.2,assistantbench
assistantbench.validation.3,assistantbench
assistantbench.validation.4,assistantbench
assistantbench.validation.5,assistantbench
assistantbench.validation.6,assistantbench
assistantbench.validation.7,assistantbench
assistantbench.validation.8,assistantbench
assistantbench.validation.9,assistantbench
assistantbench.validation.10,assistantbench
assistantbench.validation.11,assistantbench
assistantbench.validation.12,assistantbench
assistantbench.validation.13,assistantbench
assistantbench.validation.14,assistantbench
assistantbench.validation.15,assistantbench
assistantbench.validation.16,assistantbench
assistantbench.validation.17,assistantbench
assistantbench.validation.18,assistantbench
assistantbench.validation.19,assistantbench
assistantbench.validation.20,assistantbench
assistantbench.validation.21,assistantbench
assistantbench.validation.22,assistantbench
assistantbench.validation.23,assistantbench
assistantbench.validation.24,assistantbench
assistantbench.validation.25,assistantbench
assistantbench.validation.26,assistantbench
assistantbench.validation.27,assistantbench
assistantbench.validation.28,assistantbench
assistantbench.validation.29,assistantbench
assistantbench.validation.30,assistantbench
assistantbench.validation.31,assistantbench
assistantbench.validation.32,assistantbench
visualwebarena.4,visualwebarena
visualwebarena.7,visualwebarena
visualwebarena.8,visualwebarena
visualwebarena.26,visualwebarena
visualwebarena.27,visualwebarena
visualwebarena.28,visualwebarena
visualwebarena.31,visualwebarena
visualwebarena.52,visualwebarena
visualwebarena.64,visualwebarena
visualwebarena.76,visualwebarena
visualwebarena.88,visualwebarena
visualwebarena.91,visualwebarena
visualwebarena.93,visualwebarena
visualwebarena.98,visualwebarena
visualwebarena.102,visualwebarena
visualwebarena.118,visualwebarena
visualwebarena.120,visualwebarena
visualwebarena.125,visualwebarena
visualwebarena.133,visualwebarena
visualwebarena.134,visualwebarena
visualwebarena.141,visualwebarena
visualwebarena.149,visualwebarena
visualwebarena.159,visualwebarena
visualwebarena.160,visualwebarena
visualwebarena.172,visualwebarena
visualwebarena.213,visualwebarena
visualwebarena.220,visualwebarena
visualwebarena.223,visualwebarena
visualwebarena.244,visualwebarena
visualwebarena.245,visualwebarena
visualwebarena.247,visualwebarena
visualwebarena.248,visualwebarena
visualwebarena.277,visualwebarena
visualwebarena.278,visualwebarena
visualwebarena.279,visualwebarena
visualwebarena.280,visualwebarena
visualwebarena.281,visualwebarena
visualwebarena.283,visualwebarena
visualwebarena.286,visualwebarena
visualwebarena.288,visualwebarena
visualwebarena.292,visualwebarena
visualwebarena.293,visualwebarena
visualwebarena.294,visualwebarena
visualwebarena.295,visualwebarena
visualwebarena.296,visualwebarena
visualwebarena.297,visualwebarena
visualwebarena.299,visualwebarena
visualwebarena.300,visualwebarena
visualwebarena.302,visualwebarena
visualwebarena.303,visualwebarena
visualwebarena.311,visualwebarena
visualwebarena.314,visualwebarena
visualwebarena.322,visualwebarena
visualwebarena.328,visualwebarena
visualwebarena.331,visualwebarena
visualwebarena.332,visualwebarena
visualwebarena.345,visualwebarena
visualwebarena.348,visualwebarena
visualwebarena.351,visualwebarena
visualwebarena.352,visualwebarena
visualwebarena.359,visualwebarena
visualwebarena.367,visualwebarena
visualwebarena.372,visualwebarena
visualwebarena.385,visualwebarena
visualwebarena.387,visualwebarena
visualwebarena.389,visualwebarena
visualwebarena.398,visualwebarena
